index,freq,amp,phase
1,349.23,3.18309886183791,-90
2,698.46,0,0
3,1047.69,1.06103295394597,-90
4,1396.92,0,0
5,1746.15,0.636619772367581,-90
6,2095.38,0,0
7,2444.61,0.454728408833987,-90
8,2793.84,0,0
9,3143.07,0.353677651315323,-90
10,3492.3,0,0
11,3841.53,0.289372623803446,-90
12,4190.76,0,0
13,4539.99,0.244853758602916,-90
14,4889.22,0,0
15,5238.45,0.212206590789194,-90
16,5587.68,0,0
17,5936.91,0.187241109519877,-90
18,6286.14,0,0
19,6635.37,0.1675315190441,-90
20,6984.6,0,0
21,7333.83,0.151576136277996,-90
22,7683.06,0,0
23,8032.29,0.138395602688605,-90
24,8381.52,0,0
25,8730.75,0.127323954473516,-90
26,9079.98,0,0
27,9429.21,0.117892550438441,-90
28,9778.44,0,0
29,10127.67,0.109762029718549,-90
30,10476.9,0,0
31,10826.13,0.102680608446384,-90
32,11175.36,0,0
33,11524.59,0.0964575412678154,-90
34,11873.82,0,0
35,12223.05,0.0909456817667973,-90
36,12572.28,0,0
37,12921.51,0.0860296989685921,-90
38,13270.74,0,0
39,13619.97,0.0816179195343053,-90
40,13969.2,0,0
41,14318.43,0.0776365576058026,-90
42,14667.66,0,0
43,15016.89,0.074025554926463,-90
44,15366.12,0,0
45,15715.35,0.0707355302630646,-90
46,16064.58,0,0
47,16413.81,0.0677255076986789,-90
48,16763.04,0,0
49,17112.27,0.0649612012619981,-90
50,17461.5,0,0
51,17810.73,0.0624137031732923,-90
52,18159.96,0,0
53,18509.19,0.0600584690912813,-90
54,18858.42,0,0
55,19207.65,0.0578745247606892,-90
56,19556.88,0,0
57,19906.11,0.0558438396813668,-90
58,20255.34,0,0
59,20604.57,0.0539508281667442,-90
60,20953.8,0,0
61,21303.03,0.0521819485547198,-90
62,21652.26,0,0
63,22001.49,0.0505253787593319,-90
64,22350.72,0,0
65,22699.95,0.0489707517205832,-90
66,23049.18,0,0
67,23398.41,0.0475089382363867,-90
68,23747.64,0,0
69,24096.87,0.0461318675628682,-90
70,24446.1,0,0
71,24795.33,0.0448323783357452,-90
72,25144.56,0,0
73,25493.79,0.0436040939977795,-90
74,25843.02,0,0
75,26192.25,0.0424413181578388,-90
76,26541.48,0,0
77,26890.71,0.0413389462576352,-90
78,27239.94,0,0
79,27589.17,0.040292390656176,-90
80,27938.4,0,0
81,28287.63,0.0392975168128137,-90
82,28636.86,0,0
83,28986.09,0.0383505886968423,-90
84,29335.32,0,0
85,29684.55,0.0374482219039754,-90
86,30033.78,0,0
87,30383.01,0.0365873432395162,-90
88,30732.24,0,0
89,31081.47,0.0357651557509877,-90
90,31430.7,0,0
91,31779.93,0.0349791083718451,-90
92,32129.16,0,0
93,32478.39,0.034226869482128,-90
94,32827.62,0,0
95,33176.85,0.0335063038088201,-90
96,33526.08,0,0
97,33875.31,0.0328154521838959,-90
98,34224.54,0,0
99,34573.77,0.0321525137559385,-90
100,34923,0,0
