index,freq,amp,phase
1,349.23,_-* 3.0202_-,_-* -109.5829_-
2,698.46,_-* 0.0000_-,_-* -35.9720_-
3,1047.69,_-* 0.7740_-,_-* -138.8716_-
4,1396.92,_-* 0.0000_-,_-* -60.1901_-
5,1746.15,_-* 0.4223_-,_-* -164.0107_-
6,2095.38,_-* 0.0000_-,_-* -105.2035_-
7,2444.61,_-* 0.2641_-,_-* 71.4947_-
8,2793.84,_-* 0.0000_-,_-* 99.9029_-
9,3143.07,_-* 0.0294_-,_-* -44.6526_-
10,3492.3,_-* 0.0000_-,_-* 6.6017_-
11,3841.53,_-* 0.0223_-,_-* -114.5007_-
12,4190.76,_-* 0.0000_-,_-* -61.3126_-
13,4539.99,_-* 0.0376_-,_-* -188.6590_-
14,4889.22,_-* 0.0000_-,_-* -130.1454_-
15,5238.45,_-* 0.1313_-,_-* -255.6490_-
16,5587.68,_-* 0.0000_-,_-* 148.2801_-
17,5936.91,_-* 0.1630_-,_-* 23.6132_-
18,6286.14,_-* 0.0000_-,_-* 95.2817_-
19,6635.37,_-* 0.1197_-,_-* -5.1090_-
20,6984.6,_-* 0.0000_-,_-* 78.1906_-
21,7333.83,_-* 0.1003_-,_-* -16.5812_-
22,7683.06,_-* 0.0000_-,_-* 69.7672_-
23,8032.29,_-* 0.0900_-,_-* -23.1783_-
24,8381.52,_-* 0.0000_-,_-* 64.3500_-
25,8730.75,_-* 0.0834_-,_-* -27.7872_-
26,9079.98,_-* 0.0000_-,_-* 60.3217_-
27,9429.21,_-* 0.0787_-,_-* -31.3818_-
28,9778.44,_-* 0.0000_-,_-* 57.0622_-
29,10127.67,_-* 0.0749_-,_-* -34.3748_-
30,10476.9,_-* 0.0000_-,_-* 54.2865_-
31,10826.13,_-* 0.0717_-,_-* -36.9694_-
32,11175.36,_-* 0.0000_-,_-* 51.8459_-
33,11524.59,_-* 0.0690_-,_-* -39.2768_-
34,11873.82,_-* 0.0000_-,_-* 49.6553_-
35,12223.05,_-* 0.0665_-,_-* -41.3636_-
36,12572.28,_-* 0.0000_-,_-* 47.6617_-
37,12921.51,_-* 0.0642_-,_-* -43.2728_-
38,13270.74,_-* 0.0000_-,_-* 45.8298_-
39,13619.97,_-* 0.0621_-,_-* -45.0334_-
40,13969.2,_-* 0.0000_-,_-* 44.1351_-
41,14318.43,_-* 0.0602_-,_-* -46.6667_-
42,14667.66,_-* 0.0000_-,_-* 42.5593_-
43,15016.89,_-* 0.0584_-,_-* -48.1886_-
44,15366.12,_-* 0.0000_-,_-* 41.0882_-
45,15715.35,_-* 0.0566_-,_-* -49.6116_-
46,16064.58,_-* 0.0000_-,_-* 39.7107_-
47,16413.81,_-* 0.0550_-,_-* -50.9459_-
48,16763.04,_-* 0.0000_-,_-* 38.4176_-
49,17112.27,_-* 0.0534_-,_-* -52.1999_-
50,17461.5,_-* 0.0000_-,_-* 37.2009_-
51,17810.73,_-* 0.0519_-,_-* -53.3809_-
52,18159.96,_-* 0.0000_-,_-* 36.0540_-
53,18509.19,_-* 0.0505_-,_-* -54.4951_-
54,18858.42,_-* 0.0000_-,_-* 34.9712_-
55,19207.65,_-* 0.0492_-,_-* -55.5479_-
56,19556.88,_-* 0.0000_-,_-* 33.9472_-
57,19906.11,_-* 0.0479_-,_-* -56.5441_-
58,20255.34,_-* 0.0000_-,_-* 32.9777_-
59,20604.57,_-* 0.0467_-,_-* -57.4880_-
60,20953.8,_-* 0.0000_-,_-* 32.0584_-
61,21303.03,_-* 0.0455_-,_-* -58.3836_-
62,21652.26,_-* 0.0000_-,_-* 31.1857_-
63,22001.49,_-* 0.0444_-,_-* -59.2341_-
64,22350.72,_-* 0.0000_-,_-* 30.3564_-
65,22699.95,_-* 0.0433_-,_-* -60.0429_-
66,23049.18,_-* 0.0000_-,_-* 29.5674_-
67,23398.41,_-* 0.0423_-,_-* -60.8128_-
68,23747.64,_-* 0.0000_-,_-* 28.8160_-
69,24096.87,_-* 0.0413_-,_-* -61.5464_-
